Movie Names,Certificate,Duration,Genre,Rating,Years,Director,Actors,Gross,Votes
Praveshamaa,None,,"Short, Horror",,2022,Khan Shamun,"Pankaj Berry, Shrashti Maheshwari, Singh Shiva, Mohit Prajapati",,
Humans,None,4,Short,,2020,Shubham Beluse,Swananda Deshmukh,,
Pattharar Kahini,None,,Drama,,1950,Deb Narayan Gupta,"Dhiraj Bhattacharya, Ahindra Choudhury, Shyam Laha, Basanta Sen",,
My Friend Heera,None,,"Short, Drama",,2012,"Amit Gupta, 
Aryaman Agrawal, 
Shilpi Gupta, 
Pramit Gupta","Master Rahee, Master Vishal, Master Neetu, Amit Gupta",,
Bhangela Shikkano Bhed,None,,None,,1931,,Saqi,,
Reincarnation,None,,"Short, Drama",,2012,"Gaurav Bakshi, 
Kanika Sehgal","Sumeet Raghavan, Sushil Tyagi",,
Shanghai Dry,None,25,"Documentary, Short",,2017,,Sarah Li,,
Swachh Bharat Abhiyaan and Boyfriend,None,,"Short, Comedy",,2018,Azaad Bharti,"Amit Kantoor, Kcarren Rajput, Sumati Solanki",,
Saanjh,None,11,Short,,2017,Gaurav,"Gaurav, Anurag Pradhan, Ashwini Rai",,
Tera Hua,None,,Music,,2021,Anurag Nirmalkar,"Alisha Joshi, Piyush Singh Thakur",,
Cricket Connected (Tamil),None,,Sport,,2020,,,,
Little Passenger,None,7,"Short, Family",,2010,Joseph Karaparambil,"Isabel Karaparambil, Jacob Karaparambil",,
Chuppi-Silence is deadly,None,,Short,,2021,Avtansh Dubey,Thanima Francis,,
Any Time Hekdi,None,,"Action, Comedy, Drama",,2022,"Parmod Panwar, 
R.K. Prajapati, 
Govind Lugriya","R.K. Prajapati, Sonam Patani, Suresh Arora, Rafiq Rajasthani",,
Ada-2,None,,"Short, Romance",,2014,Minti Anirudh Mishra,"Mamal Bhanushali, Rahul Jain, Latha, Minti Anirudh Mishra",,
Raat Dastey,None,,None,,1983,,Niren Lahiri,,
Maa,None,,"Short, Drama",,2019,,Rudranil Tikadar,,
Dhoop Ka Rang,None,,Short,,2020,,,,
Gubbi,None,,Drama,,2010,Vijay,"Achyuth Kumar, Mico Nagaraj, Patre Nagaraj, Reema",,
Aashiq Upgraded,None,15,"Short, Romance",,2015,Ajit Dubey,"Prashant Dwivedi, Rahul Pandey, Tanushree",,
Bhool Ek Nasihat,None,,"Short, Drama",,2018,,"Prakash Tiwari Madhur, Naseem Siddhiqui",,
Main Zindagi Hoon,None,40,"Short, Thriller",,2009,Prashant Bhilare,"Sakshi Barve, Sameer Kalbhor, Pranay Kandey, Junaid Kodil",,
Hetthare Hennane Herabeku,None,,Drama,,2007,Om Sai Prakash,"S.P. Balasubrahmanyam, Bank Janardhan, Lakshmi",,
Prema Samrat,None,,Drama,,1987,,Mohan Gandhi,,
Sukhi Pariwar,None,,None,,1979,Dharam Kumar,"Dheeraj Kumar, Zaheera, Mahendra Sandhu, Nazneen",,
Solace II,None,,"Short, Sci-Fi",,2020,Aby P. Johnson,Aby P. Johnson,,
Orient Jewellers TVC: Sonay Thakuk Sansar,None,,Short,,2018,Abhijit Das,Sharmila Tagore,,
Nadir Paare Aamar Bari,None,,"Action, Drama, Romance",,2001,Dilip Bosu,"Pranab Bandopadhyay, Sandip Banerjee, Arun Bannerjee, Nimu Bhowmick",,
Minaru Babu,None,,None,,1973,T. Prakash Rao,"Sobhan Babu, K.V. Chalam, Chandramohan, Anjali Devi",,
Dil Mera,None,,"Short, Music",,2018,Shivansh Singh,"Rahul Megh Arya, Aryan Shukla",,
Main Bhi Maa Hoon,None,,Drama,,1965,,,,
A Pinch of Salt,None,52,Documentary,,2012,,Ramchandra P.N.,,
Bishabriksha,None,,Drama,,1922,Jyotish Bannerjee,"Durgadas Bannerjee, Basantakumari, Gopalchandra Bhattacharya, Manoranjan Bhattacharya",,
Jarasa Tu,None,,"Short, Romance",,2018,Shreyash Shinde,Ketaki Mategaonkar,,
